slug_servico;slug_categoria;Categoria;Nome do Serviço;Órgão;Nome do Órgão;Modalidade;Link;Visitas;URL_Original
emitir-guia-de-licenciamento-anual100;transito-e-transportes;Transito E Transportes;Emitir guia de licenciamento anual;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;Digital;https://www.ms.gov.br/transito-e-transportes/emitir-guia-de-licenciamento-anual100;36664;transito-e-transportes/emitir-guia-de-licenciamento-anual100
ipva-consulta-de-debito54;financas-e-impostos;Financas E Impostos;IPVA - consulta de débito;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/financas-e-impostos/ipva-consulta-de-debito54;25653;financas-e-impostos/ipva-consulta-de-debito54
inscricaocadastro67;habitacao;Habitacao;Solicitar inscrição para participação nos programas habitacionais;AGEHAB;Agência de Habitação Popular de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/habitacao/inscricaocadastro67;16875;habitacao/inscricaocadastro67
portal-e-fazenda-cadastro135;financas-e-impostos;Financas E Impostos;e-Fazenda - cadastro;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/financas-e-impostos/portal-e-fazenda-cadastro135;16784;financas-e-impostos/portal-e-fazenda-cadastro135
certidao-tributaria-estadual-emissao152;financas-e-impostos;Financas E Impostos;Certidão tributária estadual - emissão (certidão negativa de débitos estaduais);SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/financas-e-impostos/certidao-tributaria-estadual-emissao152;12907;financas-e-impostos/certidao-tributaria-estadual-emissao152
delegacia-virtual-devir105;seguranca;Seguranca;Registrar boletim de ocorrências on-line;PCMS;Polícia Civil de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/seguranca/delegacia-virtual-devir105;12785;seguranca/delegacia-virtual-devir105
expedicao-de-certidao-de-antecedentes-criminais35;seguranca;Seguranca;Emitir certidão de antecedentes criminais;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/seguranca/expedicao-de-certidao-de-antecedentes-criminais35;9963;seguranca/expedicao-de-certidao-de-antecedentes-criminais35
documento-de-arrecadacao-do-estado-de-mato-grosso-do-sul-daems-emissao5;financas-e-impostos;Financas E Impostos;Documento de arrecadação do estado de Mato Grosso do Sul (DAEMS) - emissão;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/financas-e-impostos/documento-de-arrecadacao-do-estado-de-mato-grosso-do-sul-daems-emissao5;8204;financas-e-impostos/documento-de-arrecadacao-do-estado-de-mato-grosso-do-sul-daems-emissao5//index
anunciar-vagas-de-emprego-no-sine-sistema-nacional-de-emprego71;trabalho-emprego-e-previdencia;Trabalho Emprego E Previdencia;Consultar vagas de emprego;FUNTRAB;Fundação de Trabalho de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/trabalho-emprego-e-previdencia/anunciar-vagas-de-emprego-no-sine-sistema-nacional-de-emprego71;8111;trabalho-emprego-e-previdencia/anunciar-vagas-de-emprego-no-sine-sistema-nacional-de-emprego71//index
expedicao-de-carteira-de-identidade127;direitos-e-cidadania;Direitos E Cidadania;Solicitar carteira de identidade;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/direitos-e-cidadania/expedicao-de-carteira-de-identidade127;7993;direitos-e-cidadania//expedicao-de-carteira-de-identidade127
emissao-da-carteira-nacional-de-habilitacao174;transito-e-transportes;Transito E Transportes;Pedir Renovação da Carteira Nacional de Habilitação - CNH;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;Digital;https://www.ms.gov.br/transito-e-transportes/emissao-da-carteira-nacional-de-habilitacao174;5639;transito-e-transportes/emissao-da-carteira-nacional-de-habilitacao174
contestacao-administrativa-de-multa-autuacao-e-penalidades159;transito-e-transportes;Transito E Transportes;Contestar multa, autuação ou penalidades;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;Digital;https://www.ms.gov.br/transito-e-transportes/contestacao-administrativa-de-multa-autuacao-e-penalidades159;4749;transito-e-transportes/contestacao-administrativa-de-multa-autuacao-e-penalidades159
patronato138;direitos-e-cidadania;Direitos E Cidadania;Solicitar Carteira de Visitante do Sistema Prisional;AGEPEN;Agência Estadual de Administração do Sistema Penitenciário;Híbrido;https://www.ms.gov.br/direitos-e-cidadania/patronato138;4734;direitos-e-cidadania//patronato138
pagamento-de-ipva-inscrito-em-divida-ativa134;administracao-publica;Administracao Publica;IPVA ou LICENCIAMENTO - emitir boleto;PGE MS;Procuradoria Geral do Estado de Mato Grosso do Sul;Híbrido;https://www.ms.gov.br/administracao-publica/pagamento-de-ipva-inscrito-em-divida-ativa134;4558;administracao-publica/pagamento-de-ipva-inscrito-em-divida-ativa134
falar-com-a-gloria167;comunicacao-e-transparencia;Comunicacao E Transparencia;Falar com a Glória;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;Híbrido;https://www.ms.gov.br/comunicacao-e-transparencia/falar-com-a-gloria167;4137;comunicacao-e-transparencia/falar-com-a-gloria167
051-boletim-on-line-de-acidente-de-transito-atendimento-sem-vitimas170;seguranca;Seguranca;Realizar boletim on-line de acidente de trânsito – atendimento sem vítimas;PMMS;Polícia Militar de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/seguranca/051-boletim-on-line-de-acidente-de-transito-atendimento-sem-vitimas170;4083;seguranca/051-boletim-on-line-de-acidente-de-transito-atendimento-sem-vitimas170
termo-de-verificacao-fiscal-tvf-ou-termo-de-apreensao-ta-baixa-ou-alteracao99;financas-e-impostos;Financas E Impostos;Termo de Verificação Fiscal (TVF) ou Termo de Apreensão (TA) - baixa ou alteração;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/financas-e-impostos/termo-de-verificacao-fiscal-tvf-ou-termo-de-apreensao-ta-baixa-ou-alteracao99;3961;financas-e-impostos/termo-de-verificacao-fiscal-tvf-ou-termo-de-apreensao-ta-baixa-ou-alteracao99
emitir-certificado-de-conclusao-do-ensino-medio111;educacao-e-pesquisa;Educacao E Pesquisa;Emitir certificado do ensino médio;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/educacao-e-pesquisa/emitir-certificado-de-conclusao-do-ensino-medio111;3952;educacao-e-pesquisa/emitir-certificado-de-conclusao-do-ensino-medio111
registro-de-boletins-de-ocorrencia-depac126;seguranca;Seguranca;Registrar boletins de ocorrência - B.O.;PCMS;Polícia Civil de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/seguranca/registro-de-boletins-de-ocorrencia-depac126;3886;seguranca/registro-de-boletins-de-ocorrencia-depac126//index
