slug_servico;slug_categoria;Categoria;Nome do Serviço;Órgão;Nome do Órgão;Modalidade;Link;Visitas;URL_Original
emitir-guia-de-licenciamento-anual100;transito-e-transportes;Transito E Transportes;Emitir guia de licenciamento anual;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;Digital;https://www.ms.gov.br/transito-e-transportes/emitir-guia-de-licenciamento-anual100;37771;transito-e-transportes/emitir-guia-de-licenciamento-anual100
inscricaocadastro67;habitacao;Habitacao;Solicitar inscrição para participação nos programas habitacionais;AGEHAB;Agência de Habitação Popular de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/habitacao/inscricaocadastro67;25607;habitacao/inscricaocadastro67
ipva-consulta-de-debito54;financas-e-impostos;Financas E Impostos;IPVA - consulta de débito;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/financas-e-impostos/ipva-consulta-de-debito54;17213;financas-e-impostos/ipva-consulta-de-debito54
portal-e-fazenda-cadastro135;financas-e-impostos;Financas E Impostos;e-Fazenda - cadastro;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/financas-e-impostos/portal-e-fazenda-cadastro135;16305;financas-e-impostos/portal-e-fazenda-cadastro135
delegacia-virtual-devir105;seguranca;Seguranca;Registrar boletim de ocorrências on-line;PCMS;Polícia Civil de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/seguranca/delegacia-virtual-devir105;12505;seguranca/delegacia-virtual-devir105
certidao-tributaria-estadual-emissao152;financas-e-impostos;Financas E Impostos;Certidão tributária estadual - emissão (certidão negativa de débitos estaduais);SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/financas-e-impostos/certidao-tributaria-estadual-emissao152;12074;financas-e-impostos/certidao-tributaria-estadual-emissao152
expedicao-de-certidao-de-antecedentes-criminais35;seguranca;Seguranca;Emitir certidão de antecedentes criminais;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/seguranca/expedicao-de-certidao-de-antecedentes-criminais35;8359;seguranca/expedicao-de-certidao-de-antecedentes-criminais35
documento-de-arrecadacao-do-estado-de-mato-grosso-do-sul-daems-emissao5;financas-e-impostos;Financas E Impostos;Documento de arrecadação do estado de Mato Grosso do Sul (DAEMS) - emissão;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/financas-e-impostos/documento-de-arrecadacao-do-estado-de-mato-grosso-do-sul-daems-emissao5;8234;financas-e-impostos/documento-de-arrecadacao-do-estado-de-mato-grosso-do-sul-daems-emissao5
anunciar-vagas-de-emprego-no-sine-sistema-nacional-de-emprego71;trabalho-emprego-e-previdencia;Trabalho Emprego E Previdencia;Consultar vagas de emprego;FUNTRAB;Fundação de Trabalho de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/trabalho-emprego-e-previdencia/anunciar-vagas-de-emprego-no-sine-sistema-nacional-de-emprego71;7864;trabalho-emprego-e-previdencia/anunciar-vagas-de-emprego-no-sine-sistema-nacional-de-emprego71
expedicao-de-carteira-de-identidade127;direitos-e-cidadania;Direitos E Cidadania;Solicitar carteira de identidade;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/direitos-e-cidadania/expedicao-de-carteira-de-identidade127;6095;direitos-e-cidadania//expedicao-de-carteira-de-identidade127
emissao-da-carteira-nacional-de-habilitacao174;transito-e-transportes;Transito E Transportes;Pedir Renovação da Carteira Nacional de Habilitação - CNH;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;Digital;https://www.ms.gov.br/transito-e-transportes/emissao-da-carteira-nacional-de-habilitacao174;5121;transito-e-transportes/emissao-da-carteira-nacional-de-habilitacao174
patronato138;direitos-e-cidadania;Direitos E Cidadania;Solicitar Carteira de Visitante do Sistema Prisional;AGEPEN;Agência Estadual de Administração do Sistema Penitenciário;Híbrido;https://www.ms.gov.br/direitos-e-cidadania/patronato138;4610;direitos-e-cidadania//patronato138
emitir-nota-fiscal-de-consumidor-eletronica170;financas-e-impostos;Financas E Impostos;Nota fiscal de consumidor eletrônica (NFC-e), modelo 65 - credenciamento e CSC;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/financas-e-impostos/emitir-nota-fiscal-de-consumidor-eletronica170;4183;financas-e-impostos/emitir-nota-fiscal-de-consumidor-eletronica170
contestacao-administrativa-de-multa-autuacao-e-penalidades159;transito-e-transportes;Transito E Transportes;Contestar multa, autuação ou penalidades;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;Digital;https://www.ms.gov.br/transito-e-transportes/contestacao-administrativa-de-multa-autuacao-e-penalidades159;4182;transito-e-transportes/contestacao-administrativa-de-multa-autuacao-e-penalidades159
pagamento-de-ipva-inscrito-em-divida-ativa134;administracao-publica;Administracao Publica;IPVA ou LICENCIAMENTO - emitir boleto;PGE MS;Procuradoria Geral do Estado de Mato Grosso do Sul;Híbrido;https://www.ms.gov.br/administracao-publica/pagamento-de-ipva-inscrito-em-divida-ativa134;4037;administracao-publica/pagamento-de-ipva-inscrito-em-divida-ativa134
falar-com-a-gloria167;comunicacao-e-transparencia;Comunicacao E Transparencia;Falar com a Glória;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;Híbrido;https://www.ms.gov.br/comunicacao-e-transparencia/falar-com-a-gloria167;3995;comunicacao-e-transparencia/falar-com-a-gloria167
registro-de-boletins-de-ocorrencia-depac126;seguranca;Seguranca;Registrar boletins de ocorrência - B.O.;PCMS;Polícia Civil de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/seguranca/registro-de-boletins-de-ocorrencia-depac126;3954;seguranca/registro-de-boletins-de-ocorrencia-depac126
termo-de-verificacao-fiscal-tvf-ou-termo-de-apreensao-ta-baixa-ou-alteracao99;financas-e-impostos;Financas E Impostos;Termo de Verificação Fiscal (TVF) ou Termo de Apreensão (TA) - baixa ou alteração;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/financas-e-impostos/termo-de-verificacao-fiscal-tvf-ou-termo-de-apreensao-ta-baixa-ou-alteracao99;3822;financas-e-impostos/termo-de-verificacao-fiscal-tvf-ou-termo-de-apreensao-ta-baixa-ou-alteracao99//index
emitir-certificado-de-conclusao-do-ensino-medio111;educacao-e-pesquisa;Educacao E Pesquisa;Emitir certificado do ensino médio;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/educacao-e-pesquisa/emitir-certificado-de-conclusao-do-ensino-medio111;3589;educacao-e-pesquisa/emitir-certificado-de-conclusao-do-ensino-medio111
051-boletim-on-line-de-acidente-de-transito-atendimento-sem-vitimas170;seguranca;Seguranca;Realizar boletim on-line de acidente de trânsito – atendimento sem vítimas;PMMS;Polícia Militar de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/seguranca/051-boletim-on-line-de-acidente-de-transito-atendimento-sem-vitimas170;3573;seguranca/051-boletim-on-line-de-acidente-de-transito-atendimento-sem-vitimas170
emitir-certidao-simplificada-digital84;empresa-industria-e-comercio;Empresa Industria E Comercio;Emitir certidão simplificada digital;JUCEMS;Junta Comercial do Estado de Mato Grosso do Sul;Híbrido;https://www.ms.gov.br/empresa-industria-e-comercio/emitir-certidao-simplificada-digital84;3320;empresa-industria-e-comercio//emitir-certidao-simplificada-digital84
solicitacao-de-inclusao-no-programa-mais-social118;assistencia-social;Assistencia Social;Solicitar inclusão no Programa Mais Social;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;Presencial;https://www.ms.gov.br/assistencia-social/solicitacao-de-inclusao-no-programa-mais-social118;3170;assistencia-social/solicitacao-de-inclusao-no-programa-mais-social118
intermediacao-de-empregos7;trabalho-emprego-e-previdencia;Trabalho Emprego E Previdencia;Cadastrar às vagas de emprego;FUNTRAB;Fundação de Trabalho de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/trabalho-emprego-e-previdencia/intermediacao-de-empregos7;2781;trabalho-emprego-e-previdencia/intermediacao-de-empregos7
atendimento-via-whatsapp25;habitacao;Habitacao;Solicitar atendimento via whatsapp;AGEHAB;Agência de Habitação Popular de Mato Grosso do Sul;Presencial;https://www.ms.gov.br/habitacao/atendimento-via-whatsapp25;2774;habitacao/atendimento-via-whatsapp25//index
